,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,No.,"シート名
Tên sheet","確認項目
Mục check","確認すること
Nội dung check","POT
セルフレビュー
POT – Tự đánh giá","開発Tレビュー
Nhóm phát triển đánh giá","教師FB
Phản hồi của giáo viên",,,,,,,,,,,,,,,,,
,1,"システム概要
Tổng quan hệ thống","課題
Thách thức","「解決に向けて取り組むべきこと・理想の状態」になっているか
Có phải là “việc cần thực hiện để hướng tới giải pháp / trạng thái lý tưởng” không?",True,True,False,,,,,,,,,,,,,,,,,
,2,,"解決策
Giải pháp","「課題を実行・実現するための具体的手段」になっているか
Có phải là “phương thức cụ thể để tiến hành / hiện thực hóa thách thức” không?",True,True,True,,,,,,,,,,,,,,,,,
,3,,"アプリ名称
Tên ứng dụng","ユーザーが問題解決をイメージできる名称になっているか
Tên ứng dụng có giúp người dùng hình dung được giải pháp giải quyết vấn đề không?",True,True,True,,,,,,,,,,,,,,,,,
,4,,"ロール一覧
Danh sách role","役割が明確に説明されていて、ロール名は役割をイメージできる名称になっているか
Vai trò của các role có được giải thích rõ ràng, và có thể hình dung được vai trò của role từ tên mỗi role không?",True,True,True,,,,,,,,,,,,,,,,,
,5,,"機能一覧
Danh sách chức năng","すべての解決策、すべてのロールを網羅しているか
Có bao quát đầy đủ tất cả giải pháp và tất cả role không?",True,True,True,,,,,,,,,,,,,,,,,
,6,,"画面一覧
Danh sách màn hình","すべての機能、すべてのロールを網羅しているか
Có bao quát đầy đủ tất cả chức năng và tất cả role không?",True,True,True,,,,,,,,,,,,,,,,,
,7,,"全般：言語
Phần chung: Ngôn ngữ","各項目に日本語とベトナム語の記載があるか
Có ghi đầy đủ cả tiếng Nhật và tiếng Việt cho từng mục không?",True,True,True,,,,,,,,,,,,,,,,,
,8,,"全般：体裁
Phần chung: Layout","空欄や罫線の破壊等がないか、必要な情報が見やすい状態になっているか
Các ô đều được điền đầy đủ, đường kẻ bảng nguyên vẹn, và các thông tin quan trọng được hiển thị dễ nhìn không?",True,True,True,,,,,,,,,,,,,,,,,
,9,"画面遷移図
Sơ đồ chuyển màn hình","ロールの網羅性
Tính đầy đủ của role","システム概要のロール一覧すべてが網羅され、表記も一致しているか
Tất cả các role trong hệ thống có được liệt kê đầy đủ và tên role có trùng khớp với danh sách role ở sheet tổng quan hệ thống không?",True,True,True,,,,,,,,,,,,,,,,,
,10,,"画面の網羅性
Tính đầy đủ của màn hình","記載されている画面はシステム概要の画面一覧と完全に一致しているか
Các màn hình được liệt kê có khớp hoàn toàn với danh sách màn hình ở sheet tổng quan hệ thống không?",True,True,True,,,,,,,,,,,,,,,,,
,11,,"論理性
Tính logic","画面遷移に矛盾がないか
Có mâu thuẫn trong luồng chuyển màn hình không?",True,True,True,,,,,,,,,,,,,,,,,
,12,,"言語
Ngôn ngữ","日本語とベトナム語の記載があるか
Có ghi đầy đủ cả tiếng Nhật và tiếng Việt không?",True,True,True,,,,,,,,,,,,,,,,,
,13,,"体裁
Layout","空欄や罫線の破壊等がないか、必要な情報が見やすい状態になっているか
Các ô đều được điền đầy đủ, đường kẻ bảng nguyên vẹn, và các thông tin quan trọng được hiển thị dễ nhìn không?",True,True,True,,,,,,,,,,,,,,,,,
,14,"画面設計書
Thiết kế màn hình","画面の網羅性
Tính đầy đủ của màn hình","記載されている画面はシステム概要の画面一覧と完全に一致しているか
Các màn hình được liệt kê có khớp hoàn toàn với danh sách màn hình ở sheet tổng quan hệ thống không?",True,True,True,,,,,,,,,,,,,,,,,
,15,,"画面項目
Các mục trên màn hình","記載されている項目はその画面レイアウト・デザインをすべて説明できているか
Có giải thích đầy đủ về bố cục và thiết kế của các mục được liệt kê trên màn hình không?",True,True,True,,,,,,,,,,,,,,,,,
,16,,"項目名称
Tên mục","項目をイメージできる名称になっているか
Tên mục có giúp hình dung được nội dung của mục đó không?",True,True,True,,,,,,,,,,,,,,,,,
,17,,"項目説明
Mô tả mục","項目が明確に説明されているか
Mục có được giải thích rõ ràng không?",True,True,True,,,,,,,,,,,,,,,,,
,18,,"分類
Phân loại","適切な分類になっているか
Có được phân loại phù hợp không?",True,True,True,,,,,,,,,,,,,,,,,
,19,,"選択肢・入力値
Lựa chọn / giá trị nhập","開発Tに必要な選択肢・入力値が網羅されているか
Có đầy đủ các lựa chọn và giá trị nhập cần thiết cho nhóm phát triển không?",True,True,True,,,,,,,,,,,,,,,,,
,20,,"処理内容
Nội dung xử lý","処理のトリガーと、その結果行う処理が明確に説明されているか。
Trigger và kết quả của xử lý có được giải thích rõ ràng không?",True,True,True,,,,,,,,,,,,,,,,,
,21,,"言語
Ngôn ngữ","日本語とベトナム語の記載があるか
Có ghi đầy đủ cả tiếng Nhật và tiếng Việt không?",True,True,True,,,,,,,,,,,,,,,,,
,22,,"体裁
Layout","空欄や罫線の破壊等がないか、必要な情報が見やすい状態になっているか
Các ô đều được điền đầy đủ, đường kẻ bảng nguyên vẹn, và các thông tin quan trọng được hiển thị dễ nhìn không?",True,True,True,,,,,,,,,,,,,,,,,
,23,"全般
Chung","表記ゆれ
Sự thống nhất về cách ghi","システム概要・画面遷移図・画面設計書と同じ意味の言葉を違う表記で記載していないか
Có đảm bảo các từ cùng nghĩa với các từ trong các sheet tổng quan hệ thống, sơ đồ chuyển màn hình và thiết kế màn hình không bị ghi bằng từ khác không?",True,True,False,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
