,,,,,,,,,,,,,,,,,,,,,,,,,,
,プロダクトバックログ,,チェックリストLink,,,,,,,,,,,,,,,,,,,,,,,
,P_ID,機能,ユーザーストーリー,優先度,受入条件,ステータス,備考,,,,,,,,,,,,,,,,,,,
,1,"DB設計
(Thiết kế cơ sở dữ liệu)","なし
(Không có)",1.0,"- ER図が作成完了していること
- マイグレーションが正常に動くこと
- CRUD 操作のテストが通ること
(- ERD được hoàn thành.
- Migration hoạt động bình thường.
- Các bài test thao tác CRUD đã được pass.)",未対応,-,,,,,,,,,,,,,,,,,,,
,2,"開発環境整備
(Thiết lập môi trường phát triển)","なし
(Không có)",2.0,"- アプリがローカルで正常起動すること
(- Ứng dụng khởi chạy bình thường trên môi trường local.)",未対応,-,,,,,,,,,,,,,,,,,,,
,3,"認証・ログイン 
(Đăng nhập & xác thực)","ユーザーおよび店舗管理者として、アカウントを登録しログインしたい。なぜなら、システムの各機能（レビュー投稿等）を安全に利用するためだ。
(Với tư cách là người dùng và quản lý cửa hàng, tôi muốn đăng ký tài khoản và đăng nhập. Bởi vì tôi muốn sử dụng an toàn các chức năng của hệ thống.)",3.0,"- 登録画面（ID：13｜登録画面）からアカウントが正常に作成できること。
- ログイン画面（ID：6｜ログイン画面）で正しい情報を入力した場合、ホーム・検索画面（ID：1｜ホーム・検索画面）へ遷移すること。
- 誤った情報を入力した場合、エラーメッセージが表示されること。
(- Có thể tạo tài khoản thành công từ màn hình ID:13｜Màn hình Đăng ký tài khoản.
- Khi nhập đúng thông tin tại màn hình ID:6｜Màn hình Đăng nhập, hệ thống chuyển hướng đúng sang màn hình ID:1｜Màn hình Trang chủ & Tìm kiếm.
- Khi nhập sai thông tin, thông báo lỗi được hiển thị.)",未対応,-,,,,,,,,,,,,,,,,,,,
,4,"詳細・予算検索
 (Tìm kiếm chi tiết & ngân sách)				","一般ユーザーおよびゲストとして、エアコンの有無や予算等の条件で店舗を検索したい。なぜなら、希望条件に完全に一致するレストランを素早く見つけるためだ。
(Với tư cách là người dùng thông thường và khách, tôi muốn tìm kiếm quán ăn theo các điều kiện như điều hòa, độ sạch, ngân sách. Bởi vì tôi muốn nhanh chóng tìm được nhà hàng hoàn toàn phù hợp với mong muốn.)",4.0,"- ホーム・検索画面（ID：1｜ホーム・検索画面）でフィルター条件が選択可能であること。
- 検索実行時、条件に完全一致する店舗のみが一覧表示されること。
- 該当店舗がない場合、「見つかりませんでした」と表示されること。

(- Có thể chọn các điều kiện lọc tại màn hình ID:1｜Màn hình Trang chủ & Tìm kiếm.
- Khi tìm kiếm, chỉ hiển thị danh sách các quán khớp hoàn toàn với điều kiện.
- Nếu không có quán phù hợp, thông báo ""Không tìm thấy"" được hiển thị.)",未対応,-,,,,,,,,,,,,,,,,,,,
,5,"店舗情報管理 (Web版)
(Quản lý thông tin quán - Web)","店舗管理者として、パソコンから自身の店舗情報（メニュー等）を登録・編集したい。なぜなら、最新で正確な情報を日本人客に提供し、集客につなげるためだ。
(Với tư cách là quản lý cửa hàng, tôi muốn đăng ký và chỉnh sửa thông tin quán từ máy tính. Bởi vì tôi muốn cung cấp thông tin mới nhất và chính xác cho khách Nhật để thu hút họ.)",5.0,"- 店舗情報登録画面（ID：12｜店舗情報登録画面）、店舗情報編集画面（ID：5｜店舗情報編集画面）、店舗情報編集画面（メニュー管理）（ID：17｜店舗情報編集画面（メニュー管理））で必須項目を入力・保存できること。
- 保存後、入力された情報がDBに正常に更新されること。
- 更新内容が店舗詳細情報画面（ID：15｜店舗詳細情報画面）に即座に反映されること。

(- Có thể nhập và lưu các mục bắt buộc tại màn hình ID:12｜Màn hình Đăng ký thông tin nhà hàng, ID:5｜Màn hình Chỉnh sửa thông tin quán, ID:17｜Màn hình Chỉnh sửa thông tin quán – Thực đơn.
- Sau khi lưu, thông tin đã nhập được cập nhật thành công vào DB.
- Nội dung cập nhật được phản ánh ngay lập tức lên màn hình ID:15｜Màn hình Chi tiết thông tin nhà hàng.)",未対応,-,,,,,,,,,,,,,,,,,,,
,6,"地図検索
(Tìm kiếm bằng bản đồ)","一般ユーザーおよびゲストとして、現在地周辺の店舗を地図上で検索・確認したい。なぜなら、距離感や場所を視覚的に把握して、行きやすい店舗を選ぶためだ。
(Với tư cách là người dùng thông thường và khách, tôi muốn tìm kiếm và xem các quán xung quanh trên bản đồ. Bởi vì tôi muốn xác định khoảng cách, vị trí một cách trực quan để chọn quán dễ đi lại.)",6.0,"- 地図検索画面（ID：8｜地図検索画面）でマップが正常に表示されること。
- 検索条件に合致する店舗の位置にピンが配置されること。
- ピンをタップ時、店舗の簡易情報ポップアップが表示されること。

(- Bản đồ được hiển thị bình thường tại màn hình ID:8｜Màn hình Tìm kiếm bằng bản đồ.
- Các ghim được đặt đúng vị trí quán khớp với điều kiện tìm kiếm.
- Khi chạm vào ghim, popup thông tin tóm tắt của quán được hiển thị.)",未対応,"API連携必要。地図用のAPI選定は開発チーム（DevTeam）が自由に決定できる。
(Cần API, cho phép DevTeam tự do quyết định API cho bản đồ.)",,,,,,,,,,,,,,,,,,,
,7,"NG食材・味付け警告
(Cảnh báo nguyên liệu & hương vị)","一般ユーザーおよびゲストとして、メニューに警告タグや「日本人向け」バッジを表示してほしい。なぜなら、苦手な食材を避け、安心して注文するためだ。
(Với tư cách là người dùng thông thường và khách, tôi muốn xem các thẻ cảnh báo và huy hiệu ""Hợp khẩu vị Nhật"" trên thực đơn. Bởi vì tôi muốn tránh các nguyên liệu không thích và yên tâm khi gọi món.)

",7.0,"- 店舗情報編集画面（メニュー管理）（ID：17｜店舗情報編集画面（メニュー管理））にて、店舗管理者がメニュー登録時に「NG食材」や「日本人向け」のタグを設定し、DBに保存できること。
- 店舗詳細・メニュー画面（ID：2｜店舗詳細・メニュー画面）にて、設定されたタグが各メニューのUI上でバッジ形式で明確に表示されること。

(- Tại Màn hình Chỉnh sửa thông tin quán – Thực đơn (ID:17｜Màn hình Chỉnh sửa thông tin quán – Thực đơn), quản lý cửa hàng có thể thiết lập thẻ ""Nguyên liệu NG"" hoặc ""Dành cho người Nhật"" khi đăng ký món ăn và lưu vào DB.
- Tại Màn hình Chi tiết quán & Thực đơn (ID:2｜Màn hình Chi tiết quán & Thực đơn), các thẻ đã thiết lập được hiển thị rõ ràng dưới dạng huy hiệu trên giao diện của từng món ăn.)",未対応,-,,,,,,,,,,,,,,,,,,,
,8,"写真付きレビュー・認証
(Đánh giá kèm ảnh & xác thực)","一般ユーザーとして、写真と星評価付きのレビューを投稿・閲覧したい。なぜなら、信頼性の高い口コミを共有し、他ユーザーの店舗選びの参考にしてもらうためだ。
(Với tư cách là người dùng thông thường, tôi muốn đăng và xem các đánh giá có kèm hình ảnh và số sao. Bởi vì tôi muốn chia sẻ những nhận xét đáng tin cậy để giúp người khác tham khảo.)",8.0,"- ログイン済みの一般ユーザーが、レビュー投稿画面（ID：3｜レビュー投稿画面）から投稿できること。
- 投稿されたデータ（写真・星評価）がDBに保存されること。
- レビュー閲覧画面（ID：16｜レビュー閲覧画面）で、投稿が最新順に一覧表示されること。

(- Người dùng đã đăng nhập có thể đăng bài từ màn hình ID:3｜Màn hình Viết đánh giá.
- Dữ liệu đã đăng gồm ảnh và sao được lưu vào DB.
- Tại màn hình ID:16｜Màn hình Xem đánh giá, bài đăng được hiển thị theo thứ tự mới nhất.)",未対応,-,,,,,,,,,,,,,,,,,,,
,9,"お気に入り
(Yêu thích)","一般ユーザーとして、気に入った店舗を保存・管理したい。なぜなら、後で簡単にお店を見つけ出し、素早く詳細を確認したり予約したりするためだ。
(Với tư cách là người dùng thông thường, tôi muốn lưu và quản lý các nhà hàng yêu thích. Bởi vì tôi muốn dễ dàng tìm lại quán, xem chi tiết và đặt bàn một cách nhanh chóng sau này.)",9.0,"- 店舗の「お気に入り」アイコンをタップした際、対象店舗がデータベースに保存されること。
- 保存された店舗の一覧が、お気に入り一覧画面（ID：7）に表示されること。
- 削除ボタン押下時、対象店舗が即座に一覧から削除され、データベースが更新されること。
(- Khi bấm icon ""Yêu thích"", lưu vào cho danh sách yêu thích người dùng.
- Danh sách quán đã lưu được hiển thị tại màn hình ID:7 (Màn hình danh sách yêu thích).
- Khi bấm nút xóa, quán lập tức bị ẩn khỏi danh sách.)",未対応,-,,,,,,,,,,,,,,,,,,,
,10.0,"評価・フィードバック分析 
(Phân tích đánh giá & phản hồi)","店舗管理者として、味、清潔さ、接客の顧客評価をグラフ化・分析したい。なぜなら、店舗の強みを客観的に把握し、サービス改善に役立てるためだ。
(Với tư cách là quản lý cửa hàng, tôi muốn vẽ biểu đồ và phân tích đánh giá của khách hàng. Bởi vì tôi muốn nắm bắt khách quan điểm mạnh/yếu của quán để cải thiện dịch vụ.)",10.0,"- 管理者ダッシュボード画面（ID：4｜管理者ダッシュボード画面）に、集計データが正確に表示されること。
- 評価の推移が、指定された期間（週別・月別・年別）に基づき、折れ線グラフとして正しく描画されること。
(- Dữ liệu tổng hợp được hiển thị chính xác trên màn hình ID:4｜Màn hình Dashboard Admin (Web).
- Biến động đánh giá được hiển thị chính xác dưới dạng biểu đồ đường theo khoảng thời gian được chỉ định (theo tuần, tháng và năm).)",未対応,-,,,,,,,,,,,,,,,,,,,
,11.0,"セール適用
 (Áp dụng khuyến mãi)","店舗管理者として、割引率や条件を設定できるクーポンを作成・管理したい。なぜなら、特別な日（祝日・イベント等）にキャンペーンを実施し、集客を促進するためだ。
(Với tư cách là quản lý cửa hàng, tôi muốn tạo và quản lý mã giảm giá. Bởi vì tôi muốn thực hiện các chiến dịch khuyến mãi vào dịp lễ/sự kiện để thu hút khách.)",11.0,"- キャンペーン・クーポン作成画面（ID：10｜キャンペーン・クーポン作成画面）で割引率等を設定してクーポンを発行できること。
- クーポン管理画面（ID：14｜クーポン管理画面）で一覧が確認でき、正常に削除操作ができること。

(- Có thể thiết lập giảm giá và phát hành mã coupon tại màn hình ID:10｜Màn hình Tạo khuyến mãi / mã giảm giá.
- Có thể xem danh sách và thực hiện thao tác xóa mã thành công tại màn hình ID:14｜Màn hình Quản lý mã giảm giá.)",未対応,-,,,,,,,,,,,,,,,,,,,
,12.0,"通知
 (Thông báo)","一般ユーザーとして、新メニューの追加やセール情報などの通知を受け取りたい。なぜなら、お気に入り店舗のお得な情報をタイムリーに見逃さないようにするためだ。
(Với tư cách là người dùng thông thường, tôi muốn nhận thông báo khi có món mới hoặc chương trình giảm giá. Bởi vì tôi muốn không bỏ lỡ những thông tin ưu đãi kịp thời từ quán quen thuộc.)",12.0,"- お気に入り店舗が新しいメニューやセールを追加した際、ユーザーにアプリ内通知が届くこと。
- ユーザーが通知履歴を一覧で確認できること。
(- Khi quán yêu thích thêm menu mới hoặc khuyến mãi, người dùng sẽ nhận được thông báo trong app.
- Người dùng có thể xem lại danh sách lịch sử thông báo.)",未対応,-,,,,,,,,,,,,,,,,,,,
,13.0,"プロフィール管理
(Quản lý thông tin cá nhân)","ユーザーおよび店舗管理者として、基本情報等を閲覧・更新したい。なぜなら、情報を最新状態に保ち、予約時の対応を円滑にするためだ。
(Với tư cách là người dùng và quản lý cửa hàng, tôi muốn xem và cập nhật thông tin cơ bản. Vì muốn giữ thông tin luôn mới để thuận tiện cho việc xử lý khi đặt bàn.)",13.0,"- プロフィール画面（ID：11｜プロフィール画面）で現在のユーザー情報が正しく表示されること。
- 情報を編集して保存ボタン押下時、DBのデータが上書き更新されること。

(- Thông tin người dùng hiện tại được hiển thị chính xác tại màn hình ID:11｜Màn hình Thông tin cá nhân.
- Khi chỉnh sửa và bấm nút lưu, dữ liệu trong DB được ghi đè và cập nhật.)",未対応,-,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
